total lines: 169
1) line size: 6
  1) x: 117  y: 244
  2) x: 118  y: 242
  3) x: 120  y: 241
  4) x: 121  y: 240
  5) x: 123  y: 239
  6) x: 125  y: 238
2) line size: 14
  1) x: 60  y: 122
  2) x: 60  y: 124
  3) x: 60  y: 126
  4) x: 60  y: 128
  5) x: 60  y: 130
  6) x: 61  y: 132
  7) x: 62  y: 134
  8) x: 63  y: 136
  9) x: 64  y: 138
  10) x: 64  y: 139
  11) x: 64  y: 140
  12) x: 63  y: 142
  13) x: 63  y: 141
  14) x: 63  y: 140
3) line size: 31
  1) x: 97  y: 127
  2) x: 98  y: 126
  3) x: 99  y: 124
  4) x: 101  y: 122
  5) x: 103  y: 122
  6) x: 105  y: 122
  7) x: 107  y: 122
  8) x: 109  y: 122
  9) x: 111  y: 123
  10) x: 113  y: 124
  11) x: 115  y: 125
  12) x: 117  y: 127
  13) x: 118  y: 129
  14) x: 118  y: 130
  15) x: 118  y: 128
  16) x: 117  y: 126
  17) x: 116  y: 126
  18) x: 116  y: 125
  19) x: 115  y: 124
  20) x: 114  y: 124
  21) x: 112  y: 123
  22) x: 110  y: 122
  23) x: 108  y: 122
  24) x: 106  y: 122
  25) x: 104  y: 122
  26) x: 102  y: 122
  27) x: 100  y: 123
  28) x: 100  y: 122
  29) x: 99  y: 123
  30) x: 98  y: 125
  31) x: 98  y: 124
4) line size: 16
  1) x: 87  y: 139
  2) x: 88  y: 141
  3) x: 88  y: 142
  4) x: 90  y: 142
  5) x: 92  y: 142
  6) x: 94  y: 142
  7) x: 95  y: 141
  8) x: 95  y: 140
  9) x: 95  y: 139
  10) x: 95  y: 138
  11) x: 94  y: 137
  12) x: 94  y: 136
  13) x: 93  y: 135
  14) x: 93  y: 134
  15) x: 93  y: 133
  16) x: 92  y: 133
5) line size: 12
  1) x: 31  y: 167
  2) x: 33  y: 167
  3) x: 35  y: 167
  4) x: 37  y: 167
  5) x: 39  y: 167
  6) x: 41  y: 166
  7) x: 43  y: 165
  8) x: 45  y: 163
  9) x: 45  y: 162
  10) x: 44  y: 163
  11) x: 43  y: 164
  12) x: 42  y: 165
6) line size: 16
  1) x: 149  y: 44
  2) x: 149  y: 46
  3) x: 149  y: 48
  4) x: 149  y: 50
  5) x: 149  y: 52
  6) x: 149  y: 54
  7) x: 149  y: 56
  8) x: 149  y: 57
  9) x: 149  y: 58
  10) x: 151  y: 59
  11) x: 153  y: 59
  12) x: 155  y: 59
  13) x: 156  y: 59
  14) x: 158  y: 59
  15) x: 160  y: 59
  16) x: 162  y: 59
7) line size: 5
  1) x: 84  y: 167
  2) x: 86  y: 169
  3) x: 88  y: 170
  4) x: 90  y: 171
  5) x: 92  y: 171
8) line size: 7
  1) x: 36  y: 42
  2) x: 36  y: 44
  3) x: 36  y: 46
  4) x: 36  y: 48
  5) x: 36  y: 47
  6) x: 36  y: 45
  7) x: 36  y: 43
9) line size: 25
  1) x: 106  y: 208
  2) x: 106  y: 210
  3) x: 106  y: 212
  4) x: 106  y: 214
  5) x: 106  y: 216
  6) x: 106  y: 218
  7) x: 106  y: 220
  8) x: 107  y: 222
  9) x: 108  y: 224
  10) x: 108  y: 226
  11) x: 108  y: 228
  12) x: 108  y: 230
  13) x: 108  y: 229
  14) x: 108  y: 227
  15) x: 108  y: 225
  16) x: 108  y: 223
  17) x: 107  y: 223
  18) x: 107  y: 221
  19) x: 106  y: 221
  20) x: 106  y: 219
  21) x: 106  y: 217
  22) x: 106  y: 215
  23) x: 106  y: 213
  24) x: 106  y: 211
  25) x: 106  y: 209
10) line size: 8
  1) x: 106  y: 237
  2) x: 108  y: 238
  3) x: 110  y: 238
  4) x: 112  y: 238
  5) x: 114  y: 238
  6) x: 116  y: 237
  7) x: 117  y: 238
  8) x: 118  y: 238
11) line size: 4
  1) x: 94  y: 169
  2) x: 96  y: 167
  3) x: 95  y: 168
  4) x: 94  y: 170
12) line size: 16
  1) x: 100  y: 248
  2) x: 101  y: 248
  3) x: 102  y: 249
  4) x: 104  y: 249
  5) x: 106  y: 249
  6) x: 108  y: 249
  7) x: 110  y: 249
  8) x: 112  y: 249
  9) x: 113  y: 249
  10) x: 112  y: 248
  11) x: 111  y: 249
  12) x: 109  y: 249
  13) x: 107  y: 249
  14) x: 105  y: 249
  15) x: 103  y: 249
  16) x: 101  y: 249
13) line size: 39
  1) x: 104  y: 196
  2) x: 104  y: 197
  3) x: 105  y: 197
  4) x: 107  y: 197
  5) x: 109  y: 197
  6) x: 111  y: 197
  7) x: 113  y: 197
  8) x: 115  y: 197
  9) x: 117  y: 197
  10) x: 119  y: 197
  11) x: 121  y: 196
  12) x: 122  y: 195
  13) x: 123  y: 193
  14) x: 123  y: 192
  15) x: 123  y: 191
  16) x: 123  y: 190
  17) x: 123  y: 189
  18) x: 123  y: 188
  19) x: 123  y: 187
  20) x: 123  y: 186
  21) x: 123  y: 185
  22) x: 123  y: 184
  23) x: 122  y: 184
  24) x: 122  y: 183
  25) x: 121  y: 182
  26) x: 121  y: 181
  27) x: 121  y: 180
  28) x: 121  y: 179
  29) x: 121  y: 178
  30) x: 120  y: 178
  31) x: 119  y: 179
  32) x: 118  y: 180
  33) x: 117  y: 180
  34) x: 116  y: 181
  35) x: 116  y: 180
  36) x: 115  y: 181
  37) x: 114  y: 182
  38) x: 113  y: 182
  39) x: 112  y: 182
14) line size: 16
  1) x: 79  y: 196
  2) x: 80  y: 196
  3) x: 82  y: 195
  4) x: 84  y: 196
  5) x: 86  y: 196
  6) x: 88  y: 196
  7) x: 87  y: 196
  8) x: 85  y: 196
  9) x: 83  y: 195
  10) x: 83  y: 194
  11) x: 83  y: 193
  12) x: 82  y: 191
  13) x: 82  y: 190
  14) x: 82  y: 189
  15) x: 82  y: 188
  16) x: 82  y: 187
15) line size: 9
  1) x: 129  y: 42
  2) x: 130  y: 41
  3) x: 132  y: 41
  4) x: 134  y: 41
  5) x: 136  y: 41
  6) x: 138  y: 41
  7) x: 140  y: 41
  8) x: 142  y: 41
  9) x: 144  y: 41
16) line size: 13
  1) x: 2  y: 42
  2) x: 3  y: 42
  3) x: 4  y: 41
  4) x: 6  y: 41
  5) x: 8  y: 41
  6) x: 9  y: 41
  7) x: 9  y: 42
  8) x: 10  y: 44
  9) x: 10  y: 46
  10) x: 10  y: 48
  11) x: 10  y: 47
  12) x: 10  y: 45
  13) x: 10  y: 43
17) line size: 4
  1) x: 116  y: 157
  2) x: 118  y: 155
  3) x: 119  y: 154
  4) x: 117  y: 156
18) line size: 8
  1) x: 9  y: 49
  2) x: 10  y: 51
  3) x: 10  y: 52
  4) x: 11  y: 52
  5) x: 12  y: 52
  6) x: 13  y: 51
  7) x: 13  y: 50
  8) x: 13  y: 49
19) line size: 6
  1) x: 104  y: 195
  2) x: 105  y: 194
  3) x: 107  y: 192
  4) x: 107  y: 191
  5) x: 106  y: 192
  6) x: 105  y: 193
20) line size: 4
  1) x: 30  y: 52
  2) x: 32  y: 54
  3) x: 33  y: 56
  4) x: 34  y: 57
21) line size: 17
  1) x: 75  y: 159
  2) x: 77  y: 159
  3) x: 79  y: 160
  4) x: 81  y: 161
  5) x: 83  y: 161
  6) x: 85  y: 161
  7) x: 87  y: 161
  8) x: 89  y: 161
  9) x: 91  y: 161
